frequency_rank,character,pinyin,definition,radical,radical_code,stroke_count,hsk_levl,general_standard_num
2873,聋,lóng,deaf,耳,128.5,11,6,2245
2874,姥,lǎo,maternal grandmother; midwife,女,38.6,9,5,1736
2875,瑜,yú,flawless gem or jewel,玉,96.9,13,6,5342
2876,毋,wú,do not; not; surname; rad. 80,毋,80,4,6,3527
2877,娅,yà,mutual term of address used by sons-in-law; a brother-in-law,女,38.6,9,6,4382
2878,沮,jǔ,"stop, prevent; defeated, dejected",水,85.5,8,6,1247
2879,萌,méng,"bud, sprout",艸,140.8,11,6,2203
2880,俏,qiào,"like, similar; resemble; pretty",人,9.7,9,6,1561
2881,黯,àn,"dark, black; sullen, dreary",音,180.12,21,6,3493
2882,撇,piē,"discard, abandon, throw away",手,64.12,14,6,3064
2883,粟,sù,unhusked millet; grain,米,119.6,12,6,2583
2884,粪,fèn,"manure, dung, shit, excrement, night soil",米,119.6,12,6,2742
2885,尹,yǐn,govern; oversee; director,尸,44.1,4,6,3524
2886,苟,gǒu,"careless, frivolous; illicit; grammatical particle: if, but, if only; surname; grass name; distinguish DKW 30853 (ji4)",艸,140.5,8,6,1007
2887,癫,diān,"crazy, mad; madness, mania, insan",疒,104.16,21,6,6455
2888,蚂,mǎ,ant; leech,虫,142.3,9,6,1501
2889,禹,yǔ,legendary hsia dynasty founder,禸,114.4,9,6,1575
2890,廖,liào,surname; name of an ancient state,广,53.11,14,6,5785
2891,俭,jiǎn,"temperate, frugal, economical",人,9.7,9,6,1567
2892,帖,tiē,invitation card; notice,巾,50.5,8,6,1107
2893,煎,jiān,fry in fat or oil; boil in water,火,86.9,13,6,3000
2894,缕,lǚ,"thread; detailed, precise",糸,120.9,12,6,2820
2895,窦,dòu,"surname; hole, burrow; corrupt",穴,116.8,13,6,5593
2896,簇,cù,"swarm, crowd together, cluster",竹,118.11,17,6,3418
2897,棱,léng,"squared timber; angle, edge",木,75.8,12,6,2563
2898,叩,kòu,"knock, ask; kowtow, bow",口,30.2,5,6,254
2899,呐,nà,"raise voice, yell out loud, shout; stammer",口,30.4,7,6,738
2900,瑶,yáo,precious jade,玉,96.1,14,6,5622
2901,墅,shù,"villa, country house",土,32.11,14,6,3102
2902,莺,yīng,"oriole, green finch; Sylvia species (various)",艸,140.7,10,6,1831
2903,烫,tàng,"scald, heat; wash; iron clothes",火,86.6,10,5,2087
2904,蛙,wā,frog,虫,142.6,12,6,2634
2905,歹,dǎi,"bad, vicious, depraved, wicked",歹,78,4,6,96
2906,伶,líng,"lonely, solitary; actor",人,9.5,7,6,779
2907,葱,cōng,"scallions, leeks, green onions",艸,140.9,12,6,2554
2908,哮,xiāo,cough; pant; roar,口,30.7,10,6,1890
2909,眩,xuàn,"to confuse; dizzy, dazed, disoriented",目,109.5,10,6,4496
2910,坤,kūn,"earth; feminine, female",土,32.5,8,6,964
2911,廓,kuò,"broad, wide, open, empty; to expand",广,53.11,13,6,2989
2912,讳,huì,conceal; shun; regard as taboo,言,149.4,6,6,551
2913,啼,tí,"weep, whimper; howl, twitter",口,30.9,12,6,2645
2914,乍,zhà,"first time, for the first time",丿,4.4,5,6,266
2915,瓣,bàn,petal; segment; valves,瓜,97.14,19,6,3468
2916,矫,jiǎo,"correct, rectify, straighten out",矢,111.6,11,6,2310
2917,跋,bá,"go by foot; epilogue, colophon",足,157.5,12,6,2629
2918,枉,wǎng,"useless, in vain; bent, crooked",木,75.4,8,6,1017
2919,梗,gěng,"stem of flower, branch of plant",木,75.7,11,6,2223
2920,厕,cè,"mingle with; toilet, lavatory",厂,27.6,8,4,1047
2921,琢,zuó,polish jade; cut jade,玉,96.8,12,6,2503
2922,讥,jī,"ridicule, jeer, mock; inspect",言,149.2,4,6,173
2923,釉,yòu,glaze,釆,165.5,12,6,5223
2924,窟,kū,"hole, cave; cellar; underground",穴,116.8,13,6,3028
2925,敛,liǎn,"draw back, fold back; collect",攴,66.7,11,6,2350
2926,轼,shì,horizontal wooden bar in front,車,159.6,10,6,4484
2927,庐,lú,"hut, cottage; name of a mountain",广,53.4,7,6,839
2928,胚,pēi,embryo; unfinished things,肉,130.5,9,6,1591
2929,呻,shēn,"groan, moan; recite with intonation",口,30.5,8,6,1095
2930,绰,chuò,"graceful, delicate; spacious",糸,120.8,11,6,2490
2931,扼,è,"grasp, clutch; choke, strangle",手,64.4,7,6,619
2932,懿,yì,"virtuous, admirable, esteemed",心,61.18,22,6,6465
2933,炯,jiǒng,"bright, brilliant, clear; hot",火,86.5,9,6,4327
2934,竿,gān,bamboo pole; penis,竹,118.3,9,6,1554
2935,慷,kāng,"ardent; generous, magnanimous",心,61.11,14,6,3170
2936,虞,yú,"concerned about, anxious, worried",虍,141.7,13,6,5430
2937,锤,chuí,balance weight on scale; hammer,金,167.8,13,6,2940
2938,栓,shuān,"wooden peg, post or stick",木,75.6,10,6,1843
2939,桨,jiǎng,"oar, paddle",木,75.6,10,6,2017
2940,蚊,wén,mosquito; gnat,虫,142.4,10,6,1901
2941,磅,bàng,pound; weigh,石,112.1,15,6,3227
2942,孽,niè,evil; son of concubine; ghost,子,39.17,19,6,3452
2943,惭,cán,"ashamed, humiliated; shameful",心,61.8,11,5,2440
2944,戳,chuō,"prick, stab; stamp, seal, chop",戈,62.14,18,6,3451
2945,禀,bǐng,"report to, petition",示,113.8,13,6,2987
2946,鄂,è,Hubei province; startled,邑,163.9,11,6,2283
2947,馈,kuì,offer food superior; send gift,食,184.9,12,6,2724
2948,垣,yuán,low wall,土,32.6,9,6,4096
2949,溅,jiàn,"sprinkle, spray; spill, splash",水,85.9,12,6,2760
2950,咚,dōng,"onomatopoetic, a thumping sound",口,30.5,8,6,3916
2951,钙,gài,calcium,金,167.4,9,6,1525
2952,礁,jiāo,reef; jetty; submerged rocks,石,112.12,17,6,3397
2953,彰,zhāng,"clear, manifest, obvious",彡,59.11,14,6,3149
2954,豁,huō,"open up, clear; exempt",谷,150.1,17,6,3432
2955,眯,mī,be blinded,目,109.6,11,6,2262
2956,磷,lín,phosphorus; water rushing between,石,112.12,17,6,3398
2957,雯,wén,"cloud patterns, coloring of cloud",雨,173.4,12,6,5115
2958,墟,xū,high mound; hilly countryside; wasteland,土,32.12,14,6,3055
2959,迂,yū,"doctrinaire, abstruse, unrealistic",辵,162.3,6,6,350
2960,瞻,zhān,look; look out for; respect,目,109.13,18,6,3441
2961,颅,lú,skull,頁,181.5,11,6,2252
2962,琉,liú,"sparkling stone; glazed, opaque",玉,96.7,11,6,2158
2963,悼,dào,"grieve, mourn, lament; grieved",心,61.8,11,6,2441
2964,蝴,hú,butterfly,虫,142.9,15,5,3246
